"dataset_title","ess_round","edition_number","production_date","country","respondent_id","interviewer_age","interviewer_gender","interview_conduct_method","question_clarification","respondent_reluctant","respondent_tried_best","respondent_understood","interference_present","partner_interference","child_interference","parent_interference","relative_interference","non_relative_interference","unknown_interference","interference_not_applicable","interference_no_answer","questionnaire_language","interviewer_id","respondent_understood_binary"
"ESS11inte01",11,1,"20.06.2024","AT",50014,62,"2","1","1","2","5",5,2,"0","0","0","0","0",0,1,0,"GER",3271,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50030,48,"2","1","1","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",2348,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50057,66,"1","1","1","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",2893,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50106,65,"2","1","2","2","5",5,2,"0","0","0","0","0",0,1,0,"GER",3157,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50145,30,"1","1","3","2","5",5,2,"0","0","0","0","0",0,1,0,"GER",2595,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50158,72,"2","1","2","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",2244,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50211,69,"1","1","1","2","5",5,2,"0","0","0","0","0",0,1,0,"GER",2457,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50212,60,"2","1","2","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",2762,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50213,76,"2","1","2","1","4",4,2,"0","0","0","0","0",0,1,0,"GER",2150,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50235,62,"2","1","3","1","4",4,2,"0","0","0","0","0",0,1,0,"GER",3271,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50236,75,"2","1","1","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",2770,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50238,39,"2","1","3","2","4",4,2,"0","0","0","0","0",0,1,0,"GER",2293,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50240,53,"1","1","1","3","4",5,2,"0","0","0","0","0",0,1,0,"GER",3212,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50248,63,"2","1","3","3","4",4,2,"0","0","0","0","0",0,1,0,"GER",2292,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50270,48,"1","1","1","2","4",5,2,"0","0","0","0","0",0,1,0,"GER",2957,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50281,52,"2","1","2","2","5",5,2,"0","0","0","0","0",0,1,0,"GER",2267,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50310,68,"2","1","2","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",2699,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50324,57,"1","1","3","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",2982,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50339,56,"2","1","3","2","4",4,2,"0","0","0","0","0",0,1,0,"GER",2248,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50341,60,"2","1","1","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",2617,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50349,72,"2","1","2","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",2244,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50355,56,"2","1","2","3","4",5,2,"0","0","0","0","0",0,1,0,"GER",2447,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50358,63,"2","1","2","2","5",5,2,"0","0","0","0","0",0,1,0,"GER",2862,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50363,76,"1","1","2","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",3124,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50367,48,"2","1","1","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",2348,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50375,63,"2","1","2","2","4",4,2,"0","0","0","0","0",0,1,0,"GER",3158,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50380,63,"2","1","2","1","4",4,2,"0","0","0","0","0",0,1,0,"GER",2280,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50412,47,"1","1","1","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",3407,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50423,67,"1","1","1","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",3073,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50427,30,"1","1","2","2","5",4,2,"0","0","0","0","0",0,1,0,"GER",2595,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50433,56,"2","2","3","3","5",5,2,"0","0","0","0","0",0,1,0,"GER",3137,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50441,53,"1","1","1","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",3217,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50446,66,"1","1","2","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",3030,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50465,66,"1","1","2","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",3030,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50468,30,"1","1","2","1","4",4,2,"0","0","0","0","0",0,1,0,"GER",2595,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50489,57,"2","2","2","2","5",5,2,"0","0","0","0","0",0,1,0,"GER",3008,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50512,61,"1","1","2","4","5",5,2,"0","0","0","0","0",0,1,0,"GER",2147,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50517,71,"1","1","2","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",3382,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50577,39,"2","1","3","2","4",4,2,"0","0","0","0","0",0,1,0,"GER",2293,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50591,53,"2","1","1","1","Other",5,2,"0","0","0","0","0",0,1,0,"GER",2178,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50611,60,"2","1","2","3","4",4,2,"0","0","0","0","0",0,1,0,"GER",2337,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50623,53,"1","1","1","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",3217,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50637,46,"1","1","2","2","5",5,2,"0","0","0","0","0",0,1,0,"GER",2943,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50638,66,"1","1","2","3","5",5,2,"0","0","0","0","0",0,1,0,"GER",2893,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50651,69,"1","1","1","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",2457,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50681,77,"1","1","1","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",2492,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50687,40,"2","1","2","2","5",5,2,"0","0","0","0","0",0,1,0,"GER",2994,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50707,63,"1","1","4","1","5",4,1,"1","0","0","0","0",0,0,0,"GER",3413,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50714,77,"1","1","1","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",2492,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50868,45,"2","1","1","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",2435,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50897,53,"1","1","1","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",3217,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50910,53,"1","1","1","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",3217,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50979,75,"2","1","1","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",2770,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50994,56,"2","1","1","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",3137,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",50995,60,"2","1","1","1","1",5,2,"0","0","0","0","0",0,1,0,"GER",2762,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51029,40,"2","1","2","1","2",5,2,"0","0","0","0","0",0,1,0,"GER",2994,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51046,63,"2","1","3","3","5",4,2,"0","0","0","0","0",0,1,0,"GER",2862,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51086,48,"1","1","1","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",2957,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51112,72,"1","1","2","2","4",4,2,"0","0","0","0","0",0,1,0,"GER",2898,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51128,66,"1","1","2","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",3030,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51136,63,"1","1","2","2","5",5,2,"0","0","0","0","0",0,1,0,"GER",3406,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51181,46,"1","1","2","2","5",5,2,"0","0","0","0","0",0,1,0,"GER",2943,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51190,60,"2","1","1","3","4",5,2,"0","0","0","0","0",0,1,0,"GER",2337,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51191,63,"2","1","2","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",2280,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51192,69,"1","1","1","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",2457,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51221,55,"1","1","1","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",2410,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51224,76,"1","1","2","2","5",5,2,"0","0","0","0","0",0,1,0,"GER",3124,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51231,69,"1","1","1","1","4",5,2,"0","0","0","0","0",0,1,0,"GER",2457,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51259,45,"2","1","3","3","5",5,2,"0","0","0","0","0",0,1,0,"GER",2435,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51262,76,"2","1","2","1","5",4,2,"0","0","0","0","0",0,1,0,"GER",2150,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51285,60,"2","1","1","3","4",5,2,"0","0","0","0","0",0,1,0,"GER",2337,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51322,63,"1","2","2","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",3413,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51414,53,"1","1","1","3","4",5,2,"0","0","0","0","0",0,1,0,"GER",3212,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51440,69,"2","1","2","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",3168,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51455,63,"2","1","2","2","4",4,2,"0","0","0","0","0",0,1,0,"GER",3158,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51503,54,"2","1","2","2","5",5,2,"0","0","0","0","0",0,1,0,"GER",3092,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51504,65,"2","1","2","2","5",5,2,"0","0","0","0","0",0,1,0,"GER",3157,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51506,76,"1","1","1","2","5",5,2,"0","0","0","0","0",0,1,0,"GER",3124,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51521,43,"1","1","1","2","5",5,2,"0","0","0","0","0",0,1,0,"GER",3266,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51555,60,"2","1","1","3","4",5,2,"0","0","0","0","0",0,1,0,"GER",2337,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51578,72,"2","1","1","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",2244,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51581,48,"2","1","1","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",2348,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51596,61,"1","1","1","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",2147,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51650,77,"1","1","1","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",2492,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51713,63,"2","1","3","2","4",4,2,"0","0","0","0","0",0,1,0,"GER",3158,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51719,63,"1","1","3","2","4",4,2,"0","0","0","0","0",0,1,0,"GER",3406,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51720,72,"2","1","2","2","5",5,2,"0","0","0","0","0",0,1,0,"GER",2244,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51731,66,"1","1","2","1","5",5,2,"0","0","0","0","0",0,1,0,"GER",3030,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51735,57,"1","1","2","2","4",4,2,"0","0","0","0","0",0,1,0,"GER",2982,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51736,57,"1","2","3","2","5",5,2,"0","0","0","0","0",0,1,0,"GER",2982,"Understood"
"ESS11inte01",11,1,"20.06.2024","AT",51739,59,"1","1","3","3","4",4,2,"0","0","0","0","0",0,1,0,"GER",3039,"Understood"
